author_name,repo,commit_count,commit_sec_min,commit_sec_max
Pete Gadomski,stac-utils/stac-server,1,1689349829,1689349829
Preston Hartzell,stac-utils/stac-server,1,1737733502,1737733502
Vincent Sarago,stac-utils/stac-server,1,1568819465,1568819465
Matthias Mohr,stac-utils/stac-layer,46,1627845464,1697313377
Vincent Sarago,developmentseed/titiler,576,1575568964,1738154379
Kyle Barron,developmentseed/titiler,20,1598965080,1713476135
RichardScottOZ,developmentseed/titiler,7,1611703896,1620667616
Emmanuel Mathot,developmentseed/titiler,7,1610679501,1678367960
Pete Gadomski,developmentseed/titiler,1,1709715032,1709715032
Vincent Sarago,developmentseed/rio-stac,137,1588959271,1732201037
RichardScottOZ,developmentseed/rio-stac,1,1624663550,1624663550
Kyle Barron,developmentseed/lonboard,300,1693518811,1739378329
Vincent Sarago,developmentseed/lonboard,1,1697573619,1697573619
Pete Gadomski,gadomski/antimeridian,173,1681256122,1736367729
Preston Hartzell,pjhartzell/raster-footprint,34,1683334906,1695727139
Kyle Barron,geoarrow/geoarrow-rs,576,1688163503,1739485762
Pete Gadomski,geoarrow/geoarrow-rs,11,1716371124,1724425964
Kyle Barron,geoarrow/geoarrow,6,1695684680,1733875633
Tim Schaub,opengeospatial/geoparquet,14,1667843395,1719001438
Kyle Barron,opengeospatial/geoparquet,13,1650344789,1717227830
Matthias Mohr,opengeospatial/geoparquet,10,1670261363,1724597606
Pete Gadomski,opendatacube/odc-stac,12,1629987412,1656357224
Julia Signell,opendatacube/odc-stac,1,1702940363,1702940363
RichardScottOZ,gjoseph92/stackstac,3,1616900924,1619635171
Kyle Barron,gjoseph92/stackstac,2,1616732654,1617640390
